id,code,nom,dci1,dosage1,unite_dosage1,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement
66,6118001184187,REVLIMID 25 MG,LENALIDOMIDE,25,MG,GELULE,1 BOITE 21 GELULE,0,58465,58465,P,0%
67,6118000240372,FENAC,DICLOFENAC,50,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 30 COMPRIME GASTRO-RESISTANT,44.1,27.5,44.1,G,70%
68,6118010026553,LIPISTAT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE,232,145.1,232,G,70%
69,6118001240036,LIPISTAT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE,232,145.1,232,G,70%
70,6118000030683,CALCIBRONAT,BROMOGALACTOGLUCONATE DE CALCIUM,13.3,%,SIROP,1 FLACON 200 ML,26.4,17.5,26.4,P,0%
71,6118000032076,VITA C 1000,ACIDE ASCORBIQUE (VITAMINE C),1,G,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,27.7,18.3,27.7,G,0%
72,6118000010494,DUPHALAC,LACTULOSE,66.5,%,SOLUTION BUVABLE,1 FLACON 200 ML,49.35,32.6,49.35,P,0%
73,6118001070169,CIALIS,TADALAFIL,20,MG,COMPRIME PELLICULE,1 BOITE 4 COMPRIME PELLICULE,440,0,440,P,0%
74,6118000190417,EPHEDRYL,PARACETAMOL / TRIPROLIDINE,2.5 / 25,G / MG,SOLUTION BUVABLE,1 FLACON 100 ML,17.850000000000001,11.8,17.850000000000001,G,0%
75,6118001180943,ECLARAN,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 45 G,31.45,20.8,31.45,P,0%
76,6118010020063,COQUELUSEDAL NOURRISSON,NIAOULI / GRINDELIA / GELSEMIUM,10/10/5,MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,11.4,7.5,11.4,P,0%
77,6118001184057,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,NICOTINE,1.5,MG,PASTILLE A SUCER,1 BOITE 36 PASTILLE,120.4,79.599999999999994,120.4,P,0%
